Symbols,AAPL,MSFT,TSLA,AMZN
AAPL,1.0,0.7068690085757823,0.49296720421378165,0.6999141392114556
MSFT,0.7068690085757823,1.0,0.5000127964397703,0.7437536721039877
TSLA,0.49296720421378165,0.5000127964397703,1.0,0.4867420241684295
AMZN,0.6999141392114556,0.7437536721039877,0.4867420241684295,1.0
