Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Return
2020-05-27,78.50602754455538,79.14422157448658,77.74862636025587,78.99522399902344,112945200,0.0,0.0,AAPL,
2020-05-28,78.66245722401234,80.31879988316524,78.3793686864618,79.02998352050781,133560800,0.0,0.0,AAPL,0.0019925817717395345
2020-05-29,79.27832566874424,79.75014504194428,78.58797751343081,78.95301818847656,153532400,0.0,0.0,AAPL,0.007829255104224015
2020-06-01,78.90582427042982,80.04812882824858,78.77172570441837,79.92396545410156,80791200,0.0,0.0,AAPL,-0.004698653701023942
2020-06-02,79.65080284548529,80.31880239065855,79.1988463542657,80.2939682006836,87642800,0.0,0.0,AAPL,0.009441363574154468
2020-06-03,80.62176424760531,81.00418956777874,80.03570917190683,80.73599243164062,104491200,0.0,0.0,AAPL,0.012190227435668097
2020-06-04,80.55471812327941,80.86015517584923,79.65825461445547,80.04067993164062,87560400,0.0,0.0,AAPL,-0.0008316132120352335
2020-06-05,80.29646601281404,82.38240945393144,80.2666680116788,82.32032775878906,137250400,0.0,0.0,AAPL,-0.003205921595680513
2020-06-08,82.00991059427461,82.84180673671092,81.28231502309309,82.80703735351562,95654400,0.0,0.0,AAPL,0.021338978743935505
2020-06-09,82.47925469758347,85.82420891988033,82.44697100586156,85.42192077636719,147712400,0.0,0.0,AAPL,0.005723016887932354
2020-06-10,86.3928788389756,88.09888247851615,85.94340800677732,87.61961364746094,166651600,0.0,0.0,AAPL,0.04744980002234184
2020-06-11,86.74302689562296,87.17759876052322,83.3086708634773,83.4129638671875,201662400,0.0,0.0,AAPL,0.004052973594038736
2020-06-12,85.60319239327934,86.36803540262237,82.99576167575053,84.13309478759766,200146000,0.0,0.0,AAPL,-0.013140358863833166
2020-06-15,82.75488402270076,85.84158350443309,82.58850177662181,85.173583984375,138808800,0.0,0.0,AAPL,-0.03327338958917375
2020-06-16,87.27692393101164,87.70901766144696,85.60320393646569,87.4308853149414,165428800,0.0,0.0,AAPL,0.05464378280163401
2020-06-17,88.19324675545423,88.25532844507207,87.1850407223268,87.3092041015625,114406400,0.0,0.0,AAPL,0.010499027499719156
2020-06-18,87.26451249541581,87.77110123592948,86.72067625449638,87.34397888183594,96820400,0.0,0.0,AAPL,-0.01053067320011069
2020-06-19,88.06660434748258,88.54338747493162,85.70997828079307,86.84483337402344,264476000,0.0,0.0,AAPL,0.009191500979380386
2020-06-22,87.24712699630533,89.26353916851161,87.19994430345007,89.11702728271484,135445200,0.0,0.0,AAPL,-0.009305199822896093
2020-06-23,90.39093681296838,92.47191618619549,89.96132880815813,91.01920318603516,212155600,0.0,0.0,AAPL,0.036033390724673174
2020-06-24,90.63927147693856,91.58043206160457,89.03011127155955,89.41253662109375,192623200,0.0,0.0,AAPL,0.0027473403056328875
2020-06-25,89.57146424818622,90.63926627155978,88.79420028652999,90.59953308105469,137522400,0.0,0.0,AAPL,-0.01178084522693926
2020-06-26,90.49275028378203,90.71872853170342,87.6643050134777,87.81578826904297,205256800,0.0,0.0,AAPL,0.010285485933813664
2020-06-29,87.72142610061049,89.9365040870718,87.23222209070244,89.83965301513672,130646000,0.0,0.0,AAPL,-0.030624819938401365
2020-06-30,89.41749699137294,90.88263094762404,89.39763418490875,90.589599609375,140223200,0.0,0.0,AAPL,0.01933473914134933
2020-07-01,90.66906348496993,91.22531299056348,90.3685902336446,90.41825103759766,110737200,0.0,0.0,AAPL,0.013996885796498356
2020-07-02,91.34699825366043,91.99761313859528,90.30154473805895,90.41825103759766,114041600,0.0,0.0,AAPL,0.0074770240546587945
2020-07-06,91.88090030649819,93.316228662207,91.84861661547913,92.83695983886719,118655600,0.0,0.0,AAPL,0.005844768443897563
