Returns,Volatility,AAPL weight,MSFT weight,TSLA weight,AMZN weight,Sharpe
-0.05953706778948516,0.4081093908404379,0.2381996453763814,0.23392565387033035,0.3968269615274518,0.13104773922583632,-0.1458850718109618
-0.05959067393801793,0.34236027945870934,0.31057195883760313,1.7637750763211365e-05,0.20048887183093828,0.48892153158069535,-0.17405837509022398
-0.021886866010865764,0.32854093393921313,0.38372331455791275,0.30495954079216386,0.18494917466637595,0.12636796998354746,-0.06661838373818979
0.046639185022952154,0.29188995183544864,0.12263143816789271,0.6790608824986563,0.10390291074281784,0.09440476859063336,0.15978345513327138
-0.016311578395102878,0.31146673766027544,0.4732756106731437,0.2721860250643023,0.10519628583446122,0.14934207842809286,-0.05237020979394058
-0.08720711880870373,0.4408828145778011,0.20367576358425585,0.08464857124682208,0.46162402679423,0.25005163837469196,-0.19780112974513453
-0.04276244525266876,0.3764989630643548,0.13861274535411178,0.2581465055679615,0.33274884221670104,0.2704919068612257,-0.11357918466659732
-0.08134546221279515,0.41997956571559597,0.029407773302571702,0.019947775199245305,0.4132698527706742,0.5373745987275087,-0.19368909550204427
-0.031073103311891483,0.3898970381888617,0.11116146332582207,0.3933685663688581,0.37037021996820885,0.12509975033711088,-0.0796956639020172
-0.05562554459306478,0.34753412980531573,0.40882667692327185,0.08383215751086055,0.2189883433678855,0.28835282219798203,-0.16005778950178365
0.0360548074239637,0.2842805442031061,0.3671312660634462,0.5549077480145661,0.020339445875007172,0.05762154004698058,0.12682826228939573
0.007724557895857499,0.31118138127951134,0.13820754978962013,0.4526060740908879,0.16820195817829353,0.24098441794119843,0.02482332928819767
-0.004864376125416822,0.30022706200066096,0.19808009511190838,0.28964776077184107,0.1076426904148961,0.4046294537013545,-0.016202323977730273
-0.023942254092176457,0.3254220022120886,0.09143364089548989,0.20971256009917183,0.18825720814903307,0.5105965908563053,-0.0735729419935548
-0.033866971993835274,0.37038503020115915,0.26468485305170175,0.33934963659555045,0.3123726887619385,0.08359282159080934,-0.09143720515767563
-0.09607049111935927,0.47024212085554407,0.19726455669444498,0.0903712713669904,0.5227442008780349,0.1896199710605298,-0.20430005492611247
0.013681086693633925,0.32893648312192575,0.11944040155759661,0.5673689569629111,0.22386663251293298,0.08932400896655919,0.04159187987841046
0.011034531974840271,0.31550560412334444,0.06536639107649593,0.4821471153494347,0.1863638761965415,0.2661226173775278,0.03497412353577849
-0.025011171402216984,0.32538833547153945,0.4963253180924105,0.2652486388478828,0.1490475570207401,0.0893784860389667,-0.07686560541874317
-0.003113147002223646,0.32596601299603845,0.015828481690676743,0.3861634911869058,0.2112931334884996,0.3867148936339178,-0.009550526368101699
-0.02214830669067968,0.32947207132990364,0.2941212326579412,0.2977608424480136,0.20066812473737397,0.20744980015667117,-0.06722362414901736
-0.02147952677811921,0.3321351966051145,0.21143977361209645,0.30049508238240574,0.21674403450377822,0.2713211095017195,-0.06467103455963104
-0.07610942203525231,0.39323500084216845,0.24856425954854086,0.041324077203392436,0.3490624317565775,0.3610492314914893,-0.1935469169129228
-0.0969162995509724,0.43814625365603493,0.3436978785796767,0.019912667833071437,0.44144247336159914,0.1949469802256527,-0.22119623012241063
-0.02522405784769915,0.33932413724300226,0.422811896057937,0.3211491748497145,0.20970746698850587,0.04633146210384268,-0.07433617323142354
-0.03452731927636945,0.371155122994553,0.33329616900931414,0.34524159195546655,0.3059977754080921,0.015464463627127103,-0.09302665418651965
-0.07818374825057625,0.39163422331874226,0.43100439650506306,0.05032660778011348,0.3289464845866474,0.18972251112817598,-0.19963461718958167
0.0072429918112325515,0.30307559623747493,0.39930308309922835,0.43402809436933015,0.09958048313464829,0.06708833939679325,0.023898300955769808
-0.06760208894405839,0.3811996267054102,0.24323185017909907,0.07555932102547717,0.3236244668003606,0.357584361995063,-0.17734038600279392
-0.07556702561073024,0.38786577318533316,0.6347485162305774,0.07301651689270408,0.28547436668288695,0.006760600193831624,-0.19482777505769294
-0.03190178693115165,0.34311591483090087,0.22722980860320438,0.25447454866091157,0.24272442288591087,0.2755712198499732,-0.09297670423382702
0.018555086172100558,0.28337343529601766,0.35307905529792327,0.40022884162662115,0.013027559386823628,0.2336645436886318,0.06547927173454893
-0.08924539788238584,0.41642889364223573,0.3810223107891328,0.026670184280447037,0.39062748865865193,0.20168001627176824,-0.2143112527610986
-0.05272789299653844,0.440668734347371,0.07818167768314646,0.3489728343397348,0.47837281585362124,0.0944726721234975,-0.11965426381934784
0.026021910691137316,0.2818075022042168,0.0708188031707467,0.4086289817026983,0.03484931945969093,0.4857028956668641,0.09233931136538756
-0.05647356732373942,0.46195118170018973,0.07477584651286338,0.3733074528553688,0.5212951652400051,0.030621535391762753,-0.1222500765468141
-0.06346528505329041,0.3909453485698068,0.15495410449977973,0.12583370112663883,0.3560400487339052,0.36317214563967615,-0.1623379975883205
0.006076691945533038,0.3263326249107689,0.2550484903349978,0.5166485068097961,0.20235656665303448,0.025946436202171526,0.018621159766647983
-0.04280279447038999,0.3428819461435333,0.2038332822372514,0.14567506483927173,0.23176103310510032,0.4187306198183766,-0.12483245312797069
-0.07604479173859205,0.403223113954849,0.38809771855343506,0.10178557359300706,0.3647893075650893,0.14532740028846858,-0.18859234281670464
-0.039556022860828516,0.3534773338876575,0.1449096196836782,0.20514115301565067,0.27039527389907875,0.37955395340159226,-0.11190540119158035
-0.014237988167202476,0.3263571853166575,0.28450666600080093,0.3525877876020433,0.19580995257404057,0.16709559382311523,-0.04362700993816838
